binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus drysdalensis,NA,NA,tree,NA,10,110,9,9,7000,17,120,11,12,7000,13.5,115,10,10.5,"Tree to 7 m. Bark smooth, white, with small red-brown flakes. Juvenile leaves not seen. Adult leaves alternate, narrowly lanceolate to lanceolate, acuminate; lamina 11-12 cm long, 1-1.7 cm wide, green, concolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 10-19 mm long. Umbels 7-flowered; peduncle terete, 8-12 mm long; pedicels 2-8 mm long. Buds obovoid; operculum saucer-shaped, slightly apiculate, 1-2 mm long, approx 3 mm wide; hypanthium obovoid to cylindrical, 4-5 mm long, c. 4 mm wide. Fruits urceolate to ovoid, 9-12 mm long, 9-11 mm wide. Seeds not seen. Fig. 43H–I","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus urnularis,NA,NA,tree,NA,14,120,10,12,6000,22,180,14,16,6000,18,150,12,14,"Tree to 6 m. Bark flaky, orange-brown to red-brown on trunk, then smooth and grey above. Juvenile leaves not seen. Adult leaves alternate, broadly lanceolate, sometimes falcate, acuminate; lamina 12-18 cm long, 1.4-2.2 cm wide, green, concolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 13-27 mm long. Umbels 7-flowered; peduncle terete, 5-17 mm long; pedicels 3-5 mm long. Mature buds not seen. Fruits urceolate, 12-16 mm long, 10-14 mm wide. Seeds red-brown. Fig. 43J–K","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus umbonata,NA,NA,tree,NA,20,150,NA,NA,17000,30,210,14,15,17000,25,180,14,15,"Tree to 17 m. Bark tessellated, scaly, red-brown on at least trunk and main branches. Juvenile leaves not seen. Adult leaves alternate, lanceolate, acuminate; lamina 15-21 cm long, 2-3 cm wide, green, concolorous; lateral veins faint, at 55°–65°; intramarginal vein confluent with margin; petiole terete, 13-25 mm long. Umbels 7-11-flowered; peduncle terete, approx 10 mm long; pedicels 2-5 mm long. Buds turbinate; operculum conical, 3-4 mm long, approx 5 mm wide; hypanthium turbinate, 5-6 mm long, 6-7 mm wide. Fruits urceolate, c. 15 mm long, approx 14 mm wide. Seeds winged. Fig. 43L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus coniophloia,NA,NA,tree,NA,9,65,12,11,6000,20,220,15,17,6000,14.5,142.5,13.5,14,"Tree to 6 m. Bark smooth, white, powdery throughout, sometimes with patches of red-grey exfoliating flakes. Juvenile leaves not seen. Adult leaves alternate, narrowly lanceolate, acuminate; lamina 6.5-22 cm long, 0.9-2 cm wide, grey-green, concolorous, lateral veins faint, at approx 60°; intramarginal vein confluent with margin; petiole terete, 14-20 mm long. Umbels 7-flowered; peduncle terete, 5-12 mm long; pedicels approx 3 mm long. Buds pyriform to subglobular; operculum low-conical, 1-2 mm long, 4-5 mm wide; hypanthium pyriform, 4-6 mm long, 5-6 mm wide. Fruits urceolate, 11-17 mm long, 12-15 mm wide. Seeds not seen. Fig. 43M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus capricornia,NA,NA,tree,NA,10,100,7,10,6000,20,190,11,13,6000,15,145,9,11.5,"Tree or mallee to 6 m. Bark tessellated, red-brown to grey-brown on trunk, smooth and white above. Juvenile leaves not seen. Adult leaves alternate, narrowly lanceolate, often falcate, acuminate; lamina 10-19 cm long, 1-2 cm wide, green, concolorous; lateral veins faint, at approx 60°; intramarginal vein confluent with margin; petiole terete, 8-26 mm long. Umbels 7-flowered; peduncle terete, 10-17 mm long; pedicels 4-12 mm long. Buds turbinate to subglobular; operculum saucer-shaped, 1-2 mm long, approx 4 mm wide; hypanthium obovoid, approx 5 mm long, 6-7 mm wide. Fruits urceolate, 10-13 mm long, 7-11 mm wide. Seeds winged. Fig. 43 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus arenaria,NA,NA,tree,NA,10,60,10,12,10000,20,130,13,15,10000,15,95,11.5,13.5,"Tree to 10 m. Bark flaky, dark grey or grey-brown on trunk and main branches, smooth and white above. Juvenile leaves not seen. Adult leaves alternate, lanceolate, acuminate, thin; lamina 6-13 cm long, 1-2 cm wide, grey-green, concolorous; lateral veins faint, at 60°–70°; intramarginal vein confluent with margin; petiole 10-20 mm long. Umbels 7-flowered; peduncle 10-15 mm long; pedicels 1-5 mm long. Buds ovoid or pyriform; operculum conical, 1-2 mm long, 2-3 mm wide; hypanthium truncate-pyriform, 5-7 mm long, 3-4 mm wide. Fruits globular-urceolate, 12-15 mm long, 10-13 mm wide, thin-walled. Seeds winged. Fig. 43Q–R","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus eremaea,NA,NA,mallee,NA,6,50,7,10,5000,15,90,15,16,5000,10.5,70,11,13,"Mallee to 5 m. Bark tessellated, grey-brown on all but smallest branchlets. Juvenile leaves not seen. Adult leaves alternate, narrowly lanceolate, acuminate, moderately thick; lamina 5-9 cm long, 0.6-1.5 cm wide, yellow-green, slightly discolorous or concolorous; lateral veins faint, at 45°–60°; intramarginal vein confluent with margin; petiole channelled, 8-15 mm long. Umbels 7-flowered; peduncle terete, 5-7 mm long; pedicels 3-4 mm long. Buds globular to obpyriform; operculum depressed hemispherical, shortly umbonate, 2-3 mm long, 5-7 mm wide; hypanthium truncate-ovoid, 6-8 mm long, 7-8 mm wide. Fruits globular, ovoid or urceolate, 10-16 mm long, 7-15 mm wide. Seeds winged, yellow-brown. Mallee. Bloodwood. Fig. 44A","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus symonii,NA,NA,tree,NA,10,50,13,14,7000,15,120,17,20,7000,12.5,85,15,17,"Tree or mallee to 7 m. Bark tessellated, red-brown and grey-brown on trunk, smooth and white above. Juvenile leaves lanceolate, grey-green. Adult leaves lanceolate to narrowly lanceolate, apiculate; lamina 5-12 cm long, 1-1.5 cm wide, grey-green, concolorous; lateral veins faint, at 50°–65°; intramarginal vein almost confluent with or up to 1 mm from margin; petiole terete, 8-20 mm long. Umbels 7-flowered; peduncle terete. Mature buds not seen. Fruits ovoid or subglobular to urceolate, 14-20 mm long, 13-17 mm wide. Seeds not seen. Fig. 44B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus australis,NA,NA,tree,NA,11,90,13,13,9000,20,130,17,20,9000,15.5,110,15,16.5,"Tree to 9 m. Bark tessellated, red-brown and grey on trunk, often smooth and white above. Juvenile leaves petiolate, lanceolate, mucronate. Adult leaves alternate, lanceolate to narrowly lanceolate, acuminate; lamina 9-13 cm long, 1.1-2 cm wide, grey-green, concolorous; lateral veins faint, at 55°–70°; intramarginal vein almost confluent with or up to 1 mm from margin; petiole terete, 10-20 mm long. Umbels 7-flowered; peduncle terete, c. 10-11 mm long; pedicels approx 5-7 mm long. Mature buds not seen. Fruits ovoid to suburceolate, 13-20 mm long, 13-17 mm wide. Seeds not seen. Fig. 44C","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus connerensis,NA,NA,tree,NA,8,70,13,13,5000,20,120,16,18,5000,14,95,14.5,15.5,"Tree to 5 m. Bark tessellated throughout. Juvenile leaves petiolate, lanceolate to ovate-lanceolate, mucronate. Adult leaves alternate, lanceolate to narrowly lanceolate, sometimes falcate, acuminate; lamina 7-12 cm long, 0.8-2 cm wide, grey-green, concolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 7-13 mm long. Umbels 7-flowered; peduncle terete, 10-13 mm long; pedicels 5-8 mm long. Mature buds not seen. Fruits ovoid to subglobular or urceolate, 13-18 mm long, 13-16 mm wide. Seeds not seen. Fig. 44D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lenziana,NA,NA,tree,NA,12,90,14,15,10000,20,150,18,20,10000,16,120,16,17.5,"Tree, rarely a mallee, to 10 m. Bark tessellated on trunk, light grey to grey-brown, smooth and white above. Juvenile leaves petiolate, narrowly lanceolate, acuminate. Adult leaves alternate, narrowly lanceolate to lanceolate, acuminate; lamina 9-15 cm long, 1.2-2 cm wide, shining, green, concolorous; lateral veins faint to just visible, at 50°–60°; intramarginal vein confluent with margin; petiole terete or channelled, 10-20 mm long. Umbels usually 7-flowered; peduncle terete, 5-8 mm long; pedicels 2-5 mm long. Buds clavate, but no mature buds seen. Fruits subglobular to ovoid or urceolate, 15-20 mm long, 14-18 mm wide. Seeds not seen. Fig. 44E","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus fordeana,NA,NA,mallee,NA,8,65,11,13,6000,16,95,15,16,6000,12,80,13,14.5,"Mallee, rarely a tree, to 6 m. Bark rough, tessellated, grey-red on at least trunk, smooth on smallest branches. Juvenile leaves lanceolate, mucronate. Adult leaves alternate, narrowly lanceolate to lanceolate, rarely falcate, acuminate; lamina 6.5-9.5 cm long, 0.8-1.6 cm wide, bright green, concolorous; lateral veins faint, at approx 60°; intramarginal vein confluent with margin; petiole terete or channelled, 8-10 mm long. Umbels 7-flowered; peduncle terete, 6-7 mm long; pedicels 4-6 mm long. Buds obovoid; operculum conical to hemispherical, 2-3 mm long, 4-5 mm wide; hypanthium obconical to obovoid, 3-4 mm long, 4-5 mm wide. Fruits ovoid to urceolate, sometimes slightly ribbed, 13-16 mm long, 11-15 mm wide. Seeds not seen. Fig. 44F–G","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus nelsonii,NA,NA,tree,NA,10,60,10,11,8000,15,100,16,18,8000,12.5,80,13,14.5,"Tree, rarely a mallee, to 8 m. Bark rough, tessellated, red-brown to grey-brown. Juvenile leaves petiolate, lanceolate, mucronate. Adult leaves alternate, lanceolate, sometimes falcate, acuminate; lamina 6-10 cm long, 1-1.5 cm wide, grey-green, concolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 9-11 mm long. Umbels 7-flowered; peduncle terete, 5-8 mm long; pedicels 5-8 mm long. Buds obovoid; operculum conical, 2-3 mm long, approx 4 mm wide; hypanthium obconical to obovoid; approx 5 mm long, approx 4 mm wide. Fruits ovoid to urceolate, 11-18 mm long, 10-16 mm wide. Seeds not seen. Fig. 44H–I","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus terminalis,NA,NA,tree,NA,10,100,15,18,15000,20,150,20,25,15000,15,125,17.5,21.5,"Tree to 15 m, sometimes crooked. Bark tessellated, grey-red on at least half of trunk then smooth and white above, often tessellated throughout, particularly in drier areas. Juvenile leaves petiolate, ovate-lanceolate, rarely glandular-bristly on margins. Adult leaves alternate, lanceolate, acuminate, thick; lamina 10-15 cm long, 1-2 cm wide, dull, green, concolorous or slightly discolorous; lateral veins faint, at 50°–70°; intramarginal vein very close to margin; petiole terete, 15-25 mm long. Umbels 3-7-flowered; peduncle terete, 5-20 mm long; pedicels 5-17 mm long. Mature buds obovoid or turbinate; operculum depressed hemispherical, sometimes umbonate, 4-5 mm long, 8-9 mm wide; hypanthium. Figure 44. Eucalyptus buds and fruits, all ×1. A, E. eremea (J.Maconochie 658, FRI). B, (P.Conrick 801, FRI). E, E. lenziana (N.Speck 1208, FRI). F–G, E. fordeana (F, D.Nelson 2249F, FRI; G, D.Whibley 6757, FRI). H–I, E. nelsonii (H, D.Nelson 2249A FRI; I, D.Nelson 2264A, FRI). J–K, E. terminalis (J, R.Perry 2143, FRI; K, 45 km NE of. Bulloo. Downs. Stn, Qld, K.Keys, FRI). L–M, E. chippendalei (S.Midgley SM535, FRI). Drawn by M.May. truncate-obovoid, 7-10 mm long, 8-10 mm wide. Fruits oblong-ovoid or urceolate, 18-25 mm long, 15-20 mm wide. Seeds winged, yellow-brown. Bloodwood, Inland. Bloodwood. Figs 19, 44J–K","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus chippendalei,NA,NA,tree,NA,10,75,17,18,8000,23,120,22,28,8000,16.5,97.5,19.5,23,"Tree or mallee to 8 m. Bark rough, tessellated, red-brown on trunk, then smooth and white above. Juvenile leaves lanceolate, mucronate, blue-green to grey-green, glabrous. Adult leaves alternate, narrowly lanceolate to lanceolate, sometimes falcate, apiculate, thick; lamina 7.5-12 cm long, 1-2.3 cm wide, green to grey-green, concolorous; lateral veins faint, at 60°–65°; intramarginal vein confluent with margin; petiole terete, 11-20 mm long. Umbels 3-7-flowered; peduncle terete, 8-17 mm long; pedicels 3-7 mm long. Buds ovoid; operculum saucer-shaped to conical, 4-5 mm long, 6-7 mm wide; hypanthium hemispherical, 5-6 mm long, 6-7 mm wide. Fruits ovoid, sometimes faintly ribbed, 18-28 mm long, 17-22 mm wide. Seeds not seen. Sandhill. Bloodwood. Fig. 44L–M","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus centralis,NA,NA,tree,NA,15,100,12,15,12000,20,160,17,23,12000,17.5,130,14.5,19,"Tree, rarely a mallee, to 12 m. Bark rough, tessellated, grey-brown to orange-brown on trunk and larger branches, then smooth, grey-white above. Juvenile leaves petiolate, lanceolate. Adult leaves alternate, lanceolate, sometimes falcate, acuminate; lamina 10-16 cm long, 1.5-2 cm wide, green, concolorous; lateral veins faint, at 55°–60°; intramarginal vein confluent with margin; petiole terete, 15-30 mm long. Umbels 7-flowered; peduncle terete, 5-12 mm long; pedicels 4-8 mm long. Buds clavate; operculum saucer-shaped, apiculate, 2-3 mm long, 4-6 mm wide; hypanthium obovoid, 5-6 mm long, 5-7 mm wide. Fruits ovoid to urceolate, 15-23 mm long, 12-17 mm wide. Seeds not seen. Fig. 45A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus opaca,NA,NA,tree,NA,14,110,12,16,12000,32,190,16,24,12000,23,150,14,20,"Tree to 12 m. Bark rough, tessellated, red-brown. Juvenile leaves petiolate, ovate to lanceolate, mucronate. Adult leaves alternate, lanceolate to broadly lanceolate, acuminate; lamina 11-19 cm long, 1.4-3.2 cm wide, green to grey-green, concolorous; lateral veins faint, at 50°–55°; intramarginal vein confluent with margin; petiole terete, 13-25 mm long. Umbels 7-flowered; peduncle terete, 8-15 mm long; pedicels 3-7 mm long. Buds clavate; operculum saucer-shaped, apiculate, approx 2 mm long, 6-7 mm wide; hypanthium obovoid, approx 7 mm long, 7-8 mm wide. Fruits urceolate, 16-24 mm long, 12-16 mm wide. Seeds not seen. Fig. 45C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus orientalis,NA,NA,tree,NA,17,100,13,19,20000,25,190,17,27,20000,21,145,15,23,"Tree to 20 m. Bark rough, tessellated on trunk and larger branches, dark grey-brown. Juvenile leaves not seen. Adult leaves alternate, lanceolate, acuminate; lamina 10-19 cm long, 1.7-2.5 cm wide, grey-green, concolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 11-25 mm long. Umbels 7-flowered; peduncle terete, 5-12 mm long; pedicels 4-7 mm long. Buds clavate; operculum conical, 2-3 mm long, 5-6 mm wide; hypanthium campanulate, 5-8 mm long, 6-7 mm wide. Fruits ovoid to almost urceolate, 19-27 mm long, 13-17 mm wide. Seeds not seen. Fig. 45E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus erythrophloia,NA,NA,tree,NA,23,70,10,13,15000,35,170,15,20,15000,29,120,12.5,16.5,"Tree to 15 m. Bark tessellated, red-brown or grey-brown throughout. Juvenile leaves shortly petiolate, ovate or oblong-lanceolate, slightly hairy or setose, pale green. Adult leaves alternate, narrowly to broadly lanceolate, acuminate, thin; lamina 7-17 cm long, 2.3-3.5 cm wide, grey-green, slightly discolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole channelled, 10-25 mm long. Umbels 3-7-flowered; peduncle terete, 7-15 mm long; pedicels 5-8 mm long. Buds ovoid or pyriform; operculum saucer-shaped or depressed hemispherical-conical, 1-2 mm long, 3-5 mm wide; hypanthium hemispherical, 4-6 mm long and wide. Fruits ovoid, urceolate or globular, 13-20 mm long, 10-15 mm wide. Seeds broadly winged, yellow-brown. Red. Bloodwood. Fig. 45G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus polycarpa,NA,NA,tree,NA,10,100,10,15,15000,30,180,18,30,15000,20,140,14,22.5,"Tree to 15 m, sometimes to 25 m. Bark tessellated, grey-brown throughout. Juvenile leaves shortly petiolate, elliptic to broadly lanceolate, hairy in early stages. Adult leaves alternate, narrowly lanceolate to lanceolate, acute, thin; lamina 10-18 cm long, 1-3 cm wide, green, discolorous; lateral veins at 60°–70°; intramarginal vein confluent with margin; petiole channelled or terete, 15-20 mm long. Umbels 7-flowered; peduncle terete or angled, 9-20 mm long; pedicels 2-9 mm long. Buds pyriform, ovoid or clavate, scurfy; operculum hemispherical, 2-4 mm long, 4-6 mm wide; hypanthium truncate-pyriform, 9-10 mm long, 5-6 mm wide. Fruits ovoid or urceolate, 15-30 mm long, 10-18 mm wide. Seeds long-winged, yellow-brown. Long-fruited. Bloodwood. Fig. 45 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
